Customer ID,Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
835-195-6511,Sevier Core — Search,Drainage,french drain installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,yard drainage contractor,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,standing water in yard,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,drainage company near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,yard flooding solutions,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,catch basin installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Drainage,,,,Responsive search ad,https://www.mtnlandscapers.com/drainage,yard,drainage,Yard Drainage Sevierville,Fix Standing Water,French Drain Installation,Yard Drainage Solutions,Free Drainage Estimate,Water Where It Shouldn't Be,Drainage Contractors,Stop Yard Flooding,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,Standing water after every storm? We install drainage that moves it.,"French drains, catch basins and regrading across Sevier County.","Free estimate, insured crews. Call (865) 280-4642.",Water pooling near the foundation? Get a free drainage estimate.,Enabled
835-195-6511,Sevier Core — Search,Concrete,concrete driveway installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,concrete contractors near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,concrete patio installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,driveway replacement,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,stamped concrete patio,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,concrete walkway installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Concrete,,,,Responsive search ad,https://www.mtnlandscapers.com/concrete,concrete,sevierville,Concrete Sevierville TN,"Driveways, Walks & Slabs",Concrete Contractors,Replace Cracked Concrete,Free Concrete Estimate,Concrete Driveway Install,Poured & Finished Right,Concrete Patios & Pads,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,"Driveways, walkways, slabs and patios poured across Sevier County.",Cracked or failing concrete replaced. Free estimate.,Insured crews. Call (865) 280-4642 for a free concrete estimate.,"Serving Sevierville, Pigeon Forge, Gatlinburg, Seymour and Kodak.",Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,landscape design and installation,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,landscape designers near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,backyard landscape design,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,full yard landscaping,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,landscape design services,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Landscape Design & Build,,,,Responsive search ad,https://www.mtnlandscapers.com/landscape-design-build,landscape,design,Landscape Design & Build,Full Yard Transformations,Landscape Designers,"Designed First, Then Built",Free Design Consultation,Landscape Install Sevierville,Plan Your Whole Yard,Landscape Design Quote,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,Landscape design and installation across Sevier County. Free estimates.,"From plan to planting, handled by one insured crew.",Tell us what you want the yard to do. Call (865) 280-4642.,"Serving Sevierville, Pigeon Forge, Gatlinburg, Seymour and Kodak.",Enabled
835-195-6511,Sevier Core — Search,Excavation,excavation contractors near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,land grading services,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,site prep contractor,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,excavating company near me,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,yard grading services,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,trenching services,Phrase,7.00,,,,,,,,,,,,,,,,,,,,,,,,Enabled
835-195-6511,Sevier Core — Search,Excavation,,,,Responsive search ad,https://www.mtnlandscapers.com/excavation,excavation,grading,Excavation & Grading,Site Prep & Excavation,Grading Contractors TN,Excavation Sevierville,Free Excavation Estimate,Land Clearing & Grading,Dig Outs & Site Work,Get the Ground Right First,Mountain Landscapers,Free Estimates,Insured Local Crew,Call (865) 280-4642,Serving Sevier County,Get a Free Estimate,Sevierville Based Crew,"Excavation, grading and site prep across Sevier County.","Land clearing, dig outs and finish grading. Free estimate.",Insured crews and machines. Call (865) 280-4642.,"Serving Sevierville, Pigeon Forge, Gatlinburg, Seymour and Kodak.",Enabled
